sentence,language
ਮੈਂ ਪੂਰੇ ਅਫ਼ਰੀਕਾ ਦੀ ਯਾਤਰਾ ਕੀਤੀ ਹੈ ਅਤੇ ਅਜੇ ਵੀ ਉਹ ਗਨੂ ਨਹੀਂ ਲੱਭਿਆ ਜਿਸਨੇ ਮੇਰਾ ਸਕਾਰਫ਼ ਚੋਰੀ ਕੀਤਾ ਸੀ।,Punjabi
Fai ciò che è giusto.,Italian
سياسة الوقت الإضافي,Arabic
Наш сын сейчáс отдыхáет в Франции.,Russian
ত্ৰিশ বছৰৰ পাছতো তাই ভাবিছিল যে টয়লেট পেপাৰৰ ৰোলটো ওপৰত নহয় তলত থৈ দিয়াটো ঠিকেই আছে।,Assamese
Morgenochtend ga ik met Marit zwemmen,Dutch
¡Lo siento mucho!,Spanish
Não está quente hoje,Portugese
Je voudrais utiliser l'internet,French
저는 메일 운동을 해요. 그런데 살이 빠지지 않아요.,Korean
Je reviens tout de suite,French
Compre el libro por 5 dolares.,Spanish
Le coiffeur,French
Hol végezte tanulmányait?,Hungarian
"Non sono un ragazzo, bensì un uomo.",Italian
Sono in ritardo mi perdoni?,Italian
Vederea barbei lui m-a făcut să vreau să fug și să mă ascund sub patul cumnatei mele.,Romanian
رجاءً أخبرني ما كان هناك أي معلومات أخرى يمكنني تقديمها.,Arabic
Potresti farlo al mio posto?,Italian
私が肉をやいている間に、友だちはかべにポスターをはります。,Japanese
"Er würde nur überleben, wenn er das Feuer am Laufen hielt und in der Ferne Donner hören konnte.",German
Mwen pa janm lakay dimanch.,Haitian Creole
إنه موظف كفء ومنظم.,Arabic
Est-ce que John est là s'il vous plaît ?,French
"In college, I am going to study science.",English
আটাইতকৈ ডাঙৰ ভয়ৰ সন্মুখীন হৈ তেওঁ প্ৰথম মাৰ্চমেলো খাইছিল।,Assamese
"তুষার গভীরে চাপা পড়ে, তিনি আশা করেছিলেন যে তার ব্যাটারিগুলি তার তুষারপাতের বীকনে তাজা ছিল।",Bengali
지금 갈 거예요.,Korean
আপুনি আপোনাৰ তলৰ চোলাৰ বাবে কামোৰে।,Assamese
Am mâncat o șosetă pentru că mi-au spus oamenii de pe internet.,Romanian
Nghĩ tích cực.,Vietnamese
ما هي مزايا وعيوب الانتقال؟,Arabic
Se străduiește să păstreze cel mai bun gazon din cartier.,Romanian
...dello stesso sesso.,Italian
لنعمل لساعة متأخرة الليلة حتى يمكن أن نرحل مبكراً غداً.,Arabic
そして、よる、えいがをみました。,Japanese
Не гоните так!,Russian
たとえば、ひっこしの1ヶ月前までによやくすれば、１０％やすくなるみたい。,Japanese
"In Spain, chocolate is not as important as in the US.",English
Est-ce que je peux avoir un reçu s'il vous plaît ?,French
أعتقد أنني فعلت بعض الاتصالات الهامة.,Arabic
Un aller simple ou un aller-retour ?,French
すてきなかぞくですね。,Japanese
"Der Ofenreparaturmann gab an, dass das Heizsystem als Klimaanlage fungierte.",German
গেলেৰীত বান্দৰে বাঁহৰ লাঠি জোকাৰি থকা ছবিবোৰ দেখিবলৈ পোৱা গৈছিল।,Assamese
そうですね。,Japanese
ਮੈਂ ਸੁਣਿਆ ਹੈ ਕਿ ਨੈਨਸੀ ਬਹੁਤ ਸੁੰਦਰ ਹੈ।,Punjabi
ਫਰੀਜ਼ਰ ਵਿਚ ਆਈਸਕ੍ਰੀਮ ਨਹੀਂ ਸੀ ਅਤੇ ਨਾ ਹੀ ਉਨ੍ਹਾਂ ਕੋਲ ਸਟੋਰ ਵਿਚ ਜਾਣ ਲਈ ਪੈਸੇ ਸਨ।,Punjabi
もしもし、いまからかえるよ。,Japanese
Ja oder nein?,German
"Avèk yon sèl vire pyès monnen an, lavi li chanje pou tout tan.",Haitian Creole
你有什么问题吗？,Mandarin
Là-bas,French
"Îmi doresc foarte mult să merg la muncă, dar sunt prea rău pentru a conduce.",Romanian
Я бы сделал это.,Russian
J'ai entendu dire que le Texas était beau comme endroit,French
Pardon,Romanian
你在哪里?,Mandarin
Hôm qua tôi đi làm trễ,Vietnamese
نا حقا أحب لعبة جو.,Arabic
8% nan 25 se menm jan ak 25% nan 8 ak youn nan yo se pi fasil fè nan tèt ou.,Haitian Creole
"Katrin is ziek, dus ze kan niet naar de cursus Nederlands komen.",Dutch
Mit csinálsz?,Hungarian
Non hai nessun diritto di sindacare la mia vita privata!,Italian
안녕히 계세요,Korean
¿Cuál es tu favorito?,Spanish
Ha qualcosa a che fare con il partito politico?,Italian
Ik wil graag meedoen aan het buikspierkwartier. Ik ga op tijd want het zal wel druk zijn.,Dutch
男の人は、どの部屋をよやくしますか。,Japanese
Est-ce que tu vas prendre un avion ou un train ?,French
Che ci fai qui?,Italian
Mag ik me even voorstellen? Ik ben jullie nieuwe buurman.,Dutch
"Chat yo se bon bèt kay, paske yo pwòp epi yo pa fè bwi.",Haitian Creole
Mi prese di sorpresa.,Italian
Ben je niet bang?,Dutch
"মই বেকন, বিয়েৰ, চৰাই, আৰু বাবুন ভাল পাওঁ।",Assamese
Li te tout biznis lè li te mete kostim kloun li.,Haitian Creole
我是几周前搬家的,Mandarin
Nous portons des bijoux bleus.,French
Donne-moi le stylo,French
そんなことない,Japanese
Ο άνδρας δουλεύει.,Greek
Wat is er aan de hand?,Dutch
女の人が、バースデーケーキを注文しています。,Japanese
Where is the bakery from the post office?,English
どの本ですか。,Japanese
Εγώ είμαι η Κατερίνα.,Greek
তিনি যে দক্ষতার সাথে ড্রয়ারে মোজা জোড়া লাগিয়েছিলেন তা বেশ প্রশংসনীয় ছিল।,Bengali
Он редко думает о нас.,Russian
よかった。じゃあそれを１時までにえいぎょうぶにとどけてくれ。,Japanese
Oggi fortunatamente c'eri anche tu.,Italian
Il est seul à bord.,French
Non c'è nessuna azione senza conseguenza.,Italian
Eva gaat een jaar in Engeland studeren.,Dutch
Maria used to watch TV.,English
Van egy lányom,Hungarian
I used to draw a lot with my best friend.,English
ਸੂਰਾਂ ਦਾ ਅਪਮਾਨ ਕੀਤਾ ਗਿਆ ਸੀ ਕਿ ਉਨ੍ਹਾਂ ਨੂੰ ਹੈਮਬਰਗਰ ਦਾ ਨਾਂ ਦਿੱਤਾ ਗਿਆ ਸੀ.,Punjabi
Qu'est-ce que tes parents font comme travail ?,French
Koloni nudis yo evite kouti fèy fig frans.,Haitian Creole
"Seine ultimative Traumphantasie bestand darin, zufrieden zu sein und acht Stunden am Stück zu schlafen.",German
سنة كبيسة,Arabic
ਦਸਤਾਨੇ ਮੇਰੇ ਪੈਰਾਂ ਨੂੰ ਵਾਧੂ ਕੰਮ ਤੋਂ ਬਚਾਉਂਦੇ ਹਨ।,Punjabi
Waar is jouw zus op dit moment?,Dutch
একটি গান একজন ব্যক্তির দিন তৈরি বা নষ্ট করতে পারে যদি তারা এটি তাদের কাছে পেতে দেয়।,Bengali
Li se yon pengwen skateboard ak yon chapo solèy!,Haitian Creole
A nagynénim és az unokatestvéreim brit állampolgar.,Hungarian
Руки прочь.,Russian
তার জীবনের আলো আসলে তার চারপাশে জ্বলছে আগুন।,Bengali
ਸ਼ਿਕਾਰ ਦਾ ਪਿੱਛਾ ਕਰਦੇ ਹੋਏ ਬਦਾਮ ਭੁੰਨਣਾ ਮੇਰੀ ਸਭ ਤੋਂ ਵੱਡੀ ਖੁਸ਼ੀ ਹੈ।,Punjabi
"Yesterday, class started at 1:00.",English
كنت متحمسا شيء,Arabic
Kado Nwèl pi renmen timoun nan se te gwo bwat tonde gazon papa l te antre nan.,Haitian Creole
J'ai besoin d'un docteur,French
Moun ki ensiste pou yo chwazi dan yo ak koud yo tèlman anmèdan!,Haitian Creole
Остановись тут.,Russian
Il est ingénieur,French
"Reist ihr in die Schweiz? Ja, wir reisen dahin.",German
Bote solèy kouche Afriken an degize danje ki kache tou pre.,Haitian Creole
প্যান্টিহোজ এবং হিল সৈকতের জন্য পোশাকের একটি আকর্ষণীয় পছন্দ।,Bengali
"I went to West Point, NY and Montville, NJ.",English
Era il campione l'agosto scorso.,Italian
ਉਹ ਲੋਕਾਂ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਗੋਲੀਬਾਰੀ ਕਰਨ ਵਿੱਚ ਮਾਹਰ ਸੀ।,Punjabi
Este hotel não é muito bom. Por que é tão caro?,Portugese
Zullen we naar een Nederlandse film of naar een buitenlandse film gaan?,Dutch
My friends and I watch the video.,English
"ঘৃণাৰ বিষয়ে তাই যিটো ঘৃণা কৰে, সেইটো সি যে ভাল পায়, সেইটো সি ঘৃণা কৰিছিল।",Assamese
Mi piace fare esercizi.,Italian
Musst du ihr schreiben?,German
Кто идёт?,Russian
Θα σηκώνομαι αύριο.,Greek
"ਕਸਬੇ ਵਿੱਚ ਚਿੱਟੇ ਆਊਟ ਦੇ ਹਾਲਾਤ ਸਨ; ਇਸ ਤੋਂ ਬਾਅਦ, ਸੜਕਾਂ ਅਯੋਗ ਹੋ ਗਈਆਂ।",Punjabi
We gaan spaghetti carbonara eten of we gaan andijvie met spekjes eten.,Dutch
Thank you for the gift.,English
শেষ মুহূৰ্তলৈকে ভয়ৰ ঠাইত উত্তেজনাই ল’লে।,Assamese
Жди здесь.,Russian
Lui Joyce îi plăcea să mănânce clătite cu ketchup.,Romanian
Gira a sinistra.,Italian
Hoe was de spaghetti carbonara?,Dutch
"যদি আপুনি সঁচাকৈয়ে কাণ দুখন টানি দিয়ে, তেন্তে আপুনি প্ৰায় শুনিব পাৰে কোনেও কোনো ধিক্কাৰ নিদিয়াৰ শব্দ।",Assamese
"Sie war zu beschäftigt damit, immer darüber zu reden, was sie tun wollte, um irgendetwas davon tatsächlich zu tun.",German
Non so da dove venga.,Italian
"আমি সত্যিই কাজে যেতে চাই, কিন্তু গাড়ি চালানোর জন্য আমি খুব অসুস্থ।",Bengali
Viné a VWA.,Spanish
"Την επόμενη εβδομάδα, αυτοί ξέρουν την απάντηση.",Greek
أنا دائما متعة الحديث معه,Arabic
Toenemen afnemen,Dutch
لدي كدمة على ذراعي.,Arabic
তিনি হট ডগ বানে তার কলা খেতে পছন্দ করতেন।,Bengali
ਗੋਲਡਨ ਰੀਟਰੀਵਰ ਨੂੰ ਹਰ ਚੌਥੇ ਜੁਲਾਈ ਨੂੰ ਆਤਿਸ਼ਬਾਜ਼ੀ ਪਸੰਦ ਸੀ।,Punjabi
晚饭的时候，我有点不舒服，所以一点儿也没吃,Mandarin
I want to play baseball in the spring.,English
Donne-moi un coup de fil,French
Ne ho avuto abbastanza.,Italian
هل يمكن أن تجعل من ثم؟,Arabic
وأنا منهم,Arabic
"Lè w ap gade ekip softball gason geriatrik la, yo te retounen souvni sou timoun ki te gen 3 an ki t ap jwe t-ball.",Haitian Creole
Отвал башки!,Russian
Oggi fa estremamente caldo.,Italian
こちらはぜんたいに、がらが入っていませんので、,Japanese
Je ne suis pas encore prêt,French
Poupe a vire toutotou nan ti sèk nan espwa pou l vin vivan.,Haitian Creole
Εγώ είμαι χαρούμενη.,Greek
Près de la banque,French
Tumbleweed a te refize tonbe men li te plis pase vle prance.,Haitian Creole
姉はけっこんして、今は外国に住んでいます。,Japanese
Mon anniversaire est le vingt-sept août,French
У нас получилось!,Russian
Meu esporte favorito é esqui,Portugese
Ihr bevorzugter Duft war frischer Knoblauch.,German
Пусти меня!,Russian
তিনি আচার খেতে এবং তার মানসিক সমস্যা সম্পর্কে মহিলাদের বলতে ভাল।,Bengali
Приходи скорей!,Russian
"Das Morgen wird etwas Neues bringen, also lass das Heute als Erinnerung.",German
Ver películas es mi pasatiempo favorito.,Spanish
We begonnen een half uur te laat,Dutch
Hast du ihn geküsst?,German
Non partirò oggi.,Italian
C'est Monsieur Smith,French
"Er träumte davon, seine Anwaltskanzlei zu verlassen, um eine tragbare Hundewaschanlage zu eröffnen.",German
Ik vind de soep te zout,Dutch
Mi puoi prestare qualche uovo?,Italian
Qu'est-ce qu'il fait comme travail ?,French
টোফাটত থকা শিয়ালটোৱে শহাপহুৰ কাণত ফুচফুচাই ক’লে।,Assamese
Держись в стороне.,Russian
Non era andato come mi ero aspettato.,Italian
Quelqu'un vient ?,French
ਜਣੇਪੇ ਦੌਰਾਨ ਪਿਤਾ ਦੀ ਮੌਤ ਹੋ ਗਈ।,Punjabi
هل يوجد أي شيء آخر يمكنني مساعدتك به؟,Arabic
Guardate i manifesti per la strada.,Italian
Je prendrai une tasse de thé s'il vous plaît,French
Tôi cần pin cho cái đồng hồ của mình.,Vietnamese
"By the 5th of June, you all will have arrived in Quito.",English
لا صير في الحصول على المزيد من المعلومات.,Arabic
Sinceramente non so cosa voglio fare.,Italian
"ਉਹ ਕਦੇ ਸਮਝ ਨਹੀਂ ਆਇਆ ਕਿ ਕਿਸ ਨੂੰ ਕਿਉਂ, ਕਦੋਂ, ਕਿੱਥੇ ਛੱਡ ਦਿੱਤਾ ਗਿਆ।",Punjabi
Il y a longtemps,French
تحتاج أيضا إلى الإجابة على هذه الأسئلة بنفسك.,Arabic
Сейчас три десять.,Russian
L'Allemagne est un pays en Europe.,French
ਪੈਟਰੀਸ਼ੀਆ ਚਾਕਬੋਰਡ ਦੇ ਵਿਰੁੱਧ ਜ਼ੋਰਦਾਰ ਦਬਾਏ ਹੋਏ ਨਹੁੰਆਂ ਦੀ ਆਵਾਜ਼ ਨੂੰ ਪਿਆਰ ਕਰਦੀ ਹੈ।,Punjabi
Sono capaci di ottenerlo insieme.,Italian
"Ich bin kein Partylöwe, aber ich mag tierische Partys.",German
ਇਹ ਆਖਰੀ ਬੇਤਰਤੀਬ ਵਾਕ ਹੈ ਜੋ ਮੈਂ ਲਿਖ ਰਿਹਾ ਹਾਂ ਅਤੇ ਮੈਂ ਅੱਧ-ਭੇਜੇ ਨੂੰ ਰੋਕਣ ਜਾ ਰਿਹਾ ਹਾਂ,Punjabi
শেষত তেওঁ উপলব্ধি কৰিলে যে তেওঁ শব্দ দেখিব পাৰে আৰু শব্দ শুনিব পাৰে।,Assamese
Je comprends maintenant,French
Ti sento lavare i piatti ogni sera.,Italian
Milyen nyelveken beszél?,Hungarian
We already will have arrived in Columbia.,English
Hiện tại đứa trẻ đang ngủ.,Vietnamese
نضع على الرمال,Arabic
내일 수업이 4시 반에 끝나요.,Korean
Uno dovrebbe andare bene.,Italian
আইচক্ৰীম ট্ৰাকবোৰে আমাৰ সকলোৰে বাবে বেয়া স্মৃতিবোৰ ঘূৰাই আনে।,Assamese
"তেওঁ ভাবিলে যে ১৮ বছৰ বয়সত তেওঁৰ বয়স যুদ্ধলৈ যাব পৰাকৈ, কিন্তু চিগাৰেট কিনিব পৰাকৈ বয়স কিয় হোৱা নাই।",Assamese
雨がふったみたいです。,Japanese
Poi terremo una conferenza stampa.,Italian
Mi fa felice.,Italian
Minhas mãos estão geladas.,Portugese
ليس لدينا أفضل المنتجات بسبب الافتقار إلى الابتكار.,Arabic
Woonde je samen in dat appartement?,Dutch
"إذا ما أصبح هو محامياً، سوف يجني الكثير من الأموال.",Arabic
O tempo está bom hoje.,Portugese
গোলাপী জিরাফ এবং লাল হাতি প্রকাশ করার জন্য দরজাটি খুলে গেল।,Bengali
"如果那个人在教室里边，我们用 ""来""",Mandarin
"যেতিয়া তেওঁ প্ৰথমবাৰৰ বাবে কুঁহিয়াৰৰ সন্মুখীন হ’ল, তেতিয়া তেওঁ ইয়াক অবিশ্বাস্যভাৱে কৰ্ণী বুলি ভাবিলে।",Assamese
はい、どうぞ。着てみてください。,Japanese
Mennyi id?t tölt otthon?,Hungarian
Maria veía la televisión.,Spanish
토요일 저녁에는 새로운 언어 공부를 시작해요.,Korean
Lequel est meilleur ?,French
このでんしじしょは使いやすいです。,Japanese
Non sono più un turista.,Italian
Abstracția este adesea la un etaj deasupra ta.,Romanian
Te lo rubo.,Italian
Quels sont tes passe-temps ?,French
Sa a se yon poupe Japonè.,Haitian Creole
今までのと同じかたちにします。,Japanese
你完成今天的工作了吗？,Mandarin
শেষ পর্যন্ত সে তার আঙ্গুল পুড়িয়ে অন্য কারোর আগুনে পুড়িয়ে দিয়েছে।,Bengali
Est-ce que ton père est à la maison ?,French
Αυτή είναι έτοιμη.,Greek
...qualcosa del genere.,Italian
C'est trop cher,French
아직 아침이에요.,Korean
Das Strandkämmen ersetzte die Weinprobe als seine neue Obsession.,German
Hai ragione.,Italian
Senti quanto è caldo!,Italian
ਓਵਰਪਾਸ ਹਾਈਵੇਅ ਦੇ ਹੇਠਾਂ ਅਤੇ ਇੱਕ ਗੁਪਤ ਸੰਸਾਰ ਵਿੱਚ ਚਲਾ ਗਿਆ।,Punjabi
ਵਾਲ ਨਾ ਹੋਣ ਕਾਰਨ ਉਹ ਹੋਰ ਵੀ ਵਾਲਾਂ ਵਾਲਾ ਦਿਖਾਈ ਦਿੰਦਾ ਸੀ।,Punjabi
いらっしゃいませ。なにをおさがしですか。,Japanese
Μας είπαν να περιμένουμε.,Greek
Забудь!,Russian
Est-ce que je devrais attendre ?,French
여행 재밌게 해요.,Korean
Il a besoin de nouveaux vêtements,French
"Ci credi nei fantasmi? No, non ci credo.",Italian
Est-ce que vous acceptez les dollars ?,French
Chi altro c'è?,Italian
Моё окнó óчень маленькое.,Russian
Следуй за нами.,Russian
مهارات الحاسب الآلي ومعرفة برامج المكتب.,Arabic
男の人と女の人は、いつひっこしますか。,Japanese
তার দ্রুত ধনী হওয়ার স্কিম ছিল একটি ক্যাকটাস খামার গড়ে তোলা।,Bengali
ৰাতি সদায় ছানগ্লাছ পিন্ধিছিল।,Assamese
Où est-ce que je peux changer des dollars américains ?,French
انت تقول دائما انك صديق,Arabic
女の学生は、どの仕事におうぼしますか。,Japanese
معظهم له تاثير سلبي,Arabic
O tempo está quente e ensolarado hoje.,Portugese
Gen yon tandans k ap grandi nan mitan adolesan yo sèvi ak frisbees kòm wou go-cart.,Haitian Creole
Je n'ai pas fini de manger,French
"Αύριο εμείς είμαστε, στο σχολείο.",Greek
Il fera froid ce soir,French
Le grand ou le petit ?,French
ぶっかが安いし、この町の生活はらくです。,Japanese
يقول أنه يجب عليك تأكيد المبيعات الشهر الماضي.,Arabic
Ik ga naar de sportschool voordat Ik bij Peter andijvie met spekjes ga eten.,Dutch
Qu'est-ce que les gens font d'habitude en été à Los Angeles ?,French
Vado a fare il bucato.,Italian
¿Dónde es tu libro de español?,Spanish
それから、やきゅうのしあいをみましょう。,Japanese
"Generally, they would walk a lot.",English
Heb je een pen bij je?,Dutch
"Não, você chegou na hora certa.",Portugese
"Kamer 318 is boven, op de derde verdieping.",Dutch
Не обращай на это внимания.,Russian
متى قامت الثورة المصرية؟,Arabic
여뻐요,Korean
Je suis ici depuis deux jours,French
あかちゃんのふくもありますか。,Japanese
"যদি তিন-ডিমের অমলেট খাওয়ার ফলে ওজন বৃদ্ধি পায়, তাহলে বগি ডিম একটি ভাল বিকল্প।",Bengali
Họ muốn tìm ra sự thật về tôi.,Vietnamese
Это честно.,Russian
Est-ce que vous avez ceci en taille 11 ?,French
Wo kommst du her?,German
"Wir sind vorsichtig mit orangefarbenen Tischtennisbällen, weil die Leute denken könnten, sie seien Obst.",German
"Sie dachte, es wäre genug Zeit, wenn sie ihre Uhr versteckte.",German
Est-ce que c'est près d'ici ?,French
ねえ、土曜日は朝早く出るから、金曜日は早くかえってきてね。,Japanese
Où est ma chemise ?,French
অনুশীলনৰ পূৰ্বে ছানব্লকটো ছোৱালীজনীৰ হাতত তুলি দিয়া হৈছিল যদিও জ্বলি যোৱা ছালখনেই তাই প্ৰয়োগ নকৰাৰ প্ৰমাণ আছিল।,Assamese
Mi fido di lui.,Italian
Est-ce que je peux avoir l'addition s'il vous plaît ?,French
Pienso que la clase de historia es interesnte.,Spanish
তিনি আমাকে পরিবর্তন করতে বলার জন্য কোন বিড়ম্বনা দেখেননি কিন্তু চান যে আমি তাকে তার জন্য গ্রহণ করি।,Bengali
"Non lo so, ancora sto decidendo.",Italian
C'est à moi,French
আজি কিবা এটা নতুন আৰু অস্মৰণীয় কথা শুনিলোঁ।,Assamese
Li te prete liv la nan men li anpil ane de sa epi li poko remèt li.,Haitian Creole
Cho tôi một lon/chai tiger,Vietnamese
Чьи это вéщи -- вáши? Нет. Мои́ вéщи в гостиной.,Russian
Я опоздал?,Russian
Karen reyalize sèl fason li t ap antre nan syèl la se tronpe.,Haitian Creole
Francien lijkt op haar moeder.,Dutch
مقعد الممر,Arabic
Jeanne te swete li te chwazi bouton wouj la.,Haitian Creole
Maria watches TV.,English
Получи жизнь!,Russian
这个房子已经租出去了？,Mandarin
أريد أن أكون معلما.,Arabic
Tôi rất nổi tiếng.,Vietnamese
Farò meglio a ripulire.,Italian
Am un toc,Romanian
"Ik wil die film graag zien, maar die draait nergens meer.",Dutch
আপনি যদি পায়ের নখ পছন্দ না করেন তবে সম্ভবত আপনার পায়ের দিকে তাকানো উচিত নয়।,Bengali
Je n'ai pas d'argent,French
তাই তাৰ সম্পূৰ্ণ নিস্তেজতাক আকৰ্ষণীয় বুলি পাইছিল।,Assamese
Lacul este departe de aici.,Romanian
শুনিছো নেন্সী বৰ ধুনীয়া।,Assamese
Том заплатил.,Russian
I prefer to eat pasta.,English
"তারা যে গোপন কোড তৈরি করেছিল তার কোন অর্থ ছিল না, এমনকি তাদের কাছেও।",Bengali
The Spanish teacher taught well.,English
"أنا أفضل ارتداء أنيقة، ملابس مريحة، وليس ملابس رسمية. معرف بدلا ارتداء الأقمشة الطبيعية من البوليستر. واحد من بلدي المفضل هو بعض الملابس بارد، والجينز القديمة مع رقيقة، والأخضر، والقطن تي شيرت. أود أن ارتداء الحجاب مع بلدي جديد، أحذية رياضية زرقاء. في فصل الشتاء، وأنا أحب أن أسجل في كبير، أسود، بول",Arabic
আরো দুই দিন তার সব সমস্যার সমাধান হয়ে যাবে।,Bengali
ਮੈਨੂੰ ਜਾਮਨੀ ਸਿਆਹੀ ਵਿੱਚ ਲਿਖੀ ਹਰ ਚੀਜ਼ 'ਤੇ ਭਰੋਸਾ ਹੈ।,Punjabi
Moman eureka ki pi enteresan mwen te genyen se lè mwen reyalize ke enstriksyon yo sou pake manje yo te jis direktiv.,Haitian Creole
শঙ্কু বা কাপের মধ্যে সিদ্ধান্ত নেওয়ার চেষ্টা করার সময় তার সামনে আজীবনের সুযোগ চলে গেল।,Bengali
Bây giờ tôi không khoẻ.,Vietnamese
Li te gen yon moman difisil posede pwòp tèt li fou.,Haitian Creole
I am very hungry.,English
আমি আমার জিম ব্যাগের মধ্য দিয়ে আমার কাঠবিড়ালিকে ঝাঁকুনি দিয়ে ধরলাম।,Bengali
আমি উচ্চ বিদ্যালয় জুড়ে আমার ডাকনাম নিয়ে খুব গর্বিত ছিলাম কিন্তু আজ- আমার ডাকনাম কি ছিল তার থেকে আমি আলাদা হতে পারিনি।,Bengali
"এক থেকে দশের স্কেলে, এলোমেলো ব্যাকরণের আপনার প্রিয় স্বাদ কী?",Bengali
তরুণ ক্যাম্পারদের কেবিনে হোমসিকনেস সংক্রামক হয়ে ওঠে।,Bengali
Li pa son tankou sa ap janm nan lis vwayaj mwen an.,Haitian Creole
Lama a pa t 'kapab reziste eseye limonad la.,Haitian Creole
Le vingt-deux octobre,French
Мы выиграем.,Russian
Quand est-ce qu'il arrive ?,French
Это дурно пахнет.,Russian
Yo amelyore dramatikman yon fwa chantè a te kite.,Haitian Creole
Fotografia cu bliț este utilizată cel mai bine în plină lumină solară.,Romanian
안녕하세요,Korean
Câinii care lătră și copiii care țipă au capacitatea unică de a transforma vecinii prietenoși în inamici irascibili.,Romanian
"اذا كان شخص ما معاملة سيئة لي،",Arabic
ο παις εφη τον πατερα εν τω(ι) αστει ζητησειν.,Greek
Volevo che tutto questo finisse.,Italian
هل يمكن أن تخبرني أكثر قليلا عن تجربة عملك؟,Arabic
"Apre batay ak Kayiman an, Brian te toujou fè fas anakonda a.",Haitian Creole
ਕਈ ਵਾਰ ਤੁਹਾਨੂੰ ਹਾਰ ਮੰਨ ਕੇ ਧੋਖਾ ਦੇ ਕੇ ਜਿੱਤਣਾ ਪੈਂਦਾ ਹੈ।,Punjabi
いいえ、妻と２人で住むんです。,Japanese
プレセントは高くなくてもいいです。,Japanese
Conosco il sentimento.,Italian
Où est-ce que tu travailles ?,French
كيف تلعب,Arabic
Приходи один.,Russian
Bunker anba tè a te ranpli ak bato ak sirèt.,Haitian Creole
Я ударила Тома.,Russian
ਦੁਨੀਆ ਵਿੱਚ ਇੰਨੇ ਤੌਲੀਏ ਨਹੀਂ ਹਨ ਕਿ ਉਸਦੇ ਮੂੰਹ ਵਿੱਚੋਂ ਨਿਕਲਦੇ ਸੀਵਰੇਜ ਨੂੰ ਰੋਕ ਸਕਣ।,Punjabi
Combien est-ce que je vous dois ?,French
Das ist der Vorname des Vaters.,German
فقدان وظائفهم,Arabic
Non so perché gli altri si aspettino qualcosa da me.,Italian
استغرق المشروع الوحيد لها يوم واحد.,Arabic
Tanpri di m ou pa travay nan yon mòg.,Haitian Creole
Иди за нами.,Russian
وكان قد تقيأ حتى العشاء له.,Arabic
কোনোবাই হাতীৰ ওপৰত ৰাতিৰ আহাৰ ৰান্ধি থকা দেখিছিল সি প্ৰথমবাৰৰ বাবে।,Assamese
"কিছু অপ্রত্যাশিত কারণে, প্রতিক্রিয়া দল আমার খাদ্যশস্যের জন্য দুধের অভাবকে যথাযথ জরুরী হিসাবে বিবেচনা করেনি।",Bengali
Sono corso via all'improvviso.,Italian
ਆਈਸ-ਕ੍ਰੀਮ ਦੇ ਟਰੱਕ ਸਾਡੇ ਸਾਰਿਆਂ ਲਈ ਬੁਰੀਆਂ ਯਾਦਾਂ ਲਿਆਉਂਦੇ ਹਨ।,Punjabi
Bạn có lịch sự không?,Vietnamese
すみません、何時まであいていますか。,Japanese
"Онá там, в том платье.",Russian
توجد الكثير من الاحتمالات,Arabic
Ceasul din acest blog și ceasul laptopului meu diferă cu 1 oră unul de celălalt.,Romanian
Volgens mij is vlees niet zo gezond,Dutch
আপনার নিজেকে সৃজনশীল বলার কোন অধিকার নেই যতক্ষণ না আপনি একটি ট্রোয়েল দেখেন এবং মনে করেন যে এটি একটি দুর্দান্ত লকপিক তৈরি করবে।,Bengali
Fietste u zonder licht?,Dutch
Họ bắt đầu nghĩ,Vietnamese
موقف محرج,Arabic
È un pensiero cattivo.,Italian
Eles são pretos,Portugese
"বিভিন্ন সাগৰীয় চৰাইবোৰ মাৰ্জিত, কিন্তু গ্লাইডিং পেলিকানৰ দৰে মাৰ্জিত একোৱেই নহয়।",Assamese
Ложись спать.,Russian
"Scuze, eu nu înțeleg",Romanian
২১৬ সংখ্যকবাৰৰ বাবে তেওঁ কয় যে এই শেষৰটো ক’কৰ পিছত তেওঁ চ’ডা খোৱা বাদ দিব।,Assamese
Người đàn ông muốn nhảy,Vietnamese
Ça a l'air vieux,French
Будьте терпеливы.,Russian
وقد بدا الجميع في جدول الأعمال؟,Arabic
Они́ всегда спраши́вают* по-англи́йски а я отвечáю по-ру́сски.,Russian
Excellent,French
Piantala!,Italian
"En ese tiempo, mi mamá era joven, alegre, y bonita.",Spanish
Heute abend gehe ich mit Haus ins Kino.,German
Я буду говорить.,Russian
IK heb pijn met mijn knee.,Dutch
Daar komt hij net aan.,Dutch
ترس فى ماكينة,Arabic
সূর্য অস্ত গেছে এবং তার স্বপ্ন ছিল।,Bengali
Mon frère est à son bureau.,French
মিষ্টাৰ মণ্টোয়াই কেতিয়াও যোৱা নাই যদিও বেকাৰীলৈ যোৱাৰ পথটো জানে।,Assamese
Al snel voelden we on thuis in Nederland.,Dutch
Te gen yon anpil nan penti makak balanse baton banbou nan galri a.,Haitian Creole
Voudriez-vous prendre un message s'il vous plaît ?,French
저는 내일 아침부터 저녁까지 여기에 있을 거예요.,Korean
Il pleut beaucoup,French
では、さいしょに、えいがをいきましょう。,Japanese
